Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC,MCC,AUC_PR
KC3,,CostSensitive,RF,0.4533,0.375,0.3888,0.7321,0.277,0.5359
KC3,,CostSensitive,XGB,0.3433,0.3083,0.3117,0.7179,0.2076,0.5366
KC3,IG,,LR,0.2833,0.175,0.2038,0.7082,0.1576,0.5448
KC3,IG,,SVM,0.2,0.0667,0.1,0.7241,0.0967,0.5752
KC3,IG,,RF,0.2667,0.175,0.2067,0.7259,0.1276,0.5041
KC3,IG,,XGB,0.325,0.25,0.2802,0.6728,0.1897,0.5054
KC3,IG,SMOTE,LR,0.3683,0.5,0.4186,0.6456,0.2695,0.4916
KC3,IG,SMOTE,SVM,0.3279,0.4333,0.3571,0.6519,0.201,0.4891
KC3,IG,SMOTE,RF,0.4,0.4333,0.4062,0.7567,0.275,0.5146
KC3,IG,SMOTE,XGB,0.33,0.35,0.3302,0.719,0.2122,0.4948
KC3,IG,ADASYN,LR,0.3942,0.5583,0.4501,0.6876,0.3312,0.4864
KC3,IG,ADASYN,SVM,0.3906,0.4583,0.3868,0.6382,0.2327,0.4926
KC3,IG,ADASYN,RF,0.4833,0.4333,0.4433,0.747,0.3373,0.551
KC3,IG,ADASYN,XGB,0.475,0.4083,0.4138,0.7429,0.3242,0.5387
KC3,IG,CostSensitive,LR,0.3311,0.4417,0.3663,0.5903,0.2058,0.4137
KC3,IG,CostSensitive,SVM,0.3185,0.5333,0.3896,0.6896,0.2252,0.4747
KC3,IG,CostSensitive,RF,0.385,0.3167,0.3221,0.7329,0.1895,0.5314
KC3,IG,CostSensitive,XGB,0.4117,0.3,0.3272,0.7132,0.2121,0.4986
KC3,CFS,,LR,0.4167,0.2,0.2567,0.6899,0.2229,0.5184
KC3,CFS,,SVM,0.3,0.0917,0.14,0.7222,0.1304,0.5989
KC3,CFS,,RF,0.275,0.2167,0.2371,0.7336,0.1342,0.4963
KC3,CFS,,XGB,0.3917,0.2583,0.3007,0.7181,0.1957,0.5134
KC3,CFS,SMOTE,LR,0.3962,0.475,0.3953,0.6568,0.2586,0.5105
KC3,CFS,SMOTE,SVM,0.4033,0.4583,0.3972,0.7109,0.2707,0.529
KC3,CFS,SMOTE,RF,0.3633,0.3667,0.3574,0.6984,0.2143,0.4689
KC3,CFS,SMOTE,XGB,0.3783,0.4667,0.4138,0.6896,0.2645,0.4911
