Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC
PC2,None,None,RF,0.0,0.0,0.0,0.8165
PC2,None,None,XGB,0.0,0.0,0.0,0.7744
PC2,None,SMOTE,LR,0.0667,0.55,0.1177,0.7911
PC2,None,SMOTE,SVM,0.091,0.45,0.149,0.7866
PC2,None,SMOTE,RF,0.0,0.0,0.0,0.8302
PC2,None,SMOTE,XGB,0.075,0.1,0.0833,0.8189
PC2,None,ADASYN,LR,0.0658,0.55,0.1164,0.7904
PC2,None,ADASYN,SVM,0.0838,0.45,0.1393,0.7819
PC2,None,ADASYN,RF,0.1,0.05,0.0667,0.8162
PC2,None,ADASYN,XGB,0.05,0.05,0.05,0.836
PC2,IG,None,LR,0.0,0.0,0.0,0.8248
PC2,IG,None,SVM,0.0,0.0,0.0,0.4322
PC2,IG,None,RF,0.0,0.0,0.0,0.8427
PC2,IG,None,XGB,0.0,0.0,0.0,0.8128
PC2,IG,SMOTE,LR,0.0571,0.65,0.1037,0.8054
PC2,IG,SMOTE,SVM,0.0968,0.65,0.1645,0.8186
PC2,IG,SMOTE,RF,0.1033,0.15,0.1186,0.8113
PC2,IG,SMOTE,XGB,0.0867,0.15,0.1086,0.8168
PC2,IG,ADASYN,LR,0.0581,0.65,0.1057,0.7811
PC2,IG,ADASYN,SVM,0.0781,0.55,0.1348,0.7754
PC2,IG,ADASYN,RF,0.1333,0.25,0.1733,0.8404
PC2,IG,ADASYN,XGB,0.09,0.15,0.1071,0.8421
PC2,CFS,None,LR,0.0,0.0,0.0,0.8468
PC2,CFS,None,SVM,0.0,0.0,0.0,0.4466
PC2,CFS,None,RF,0.0,0.0,0.0,0.8251
PC2,CFS,None,XGB,0.0,0.0,0.0,0.7568
PC2,CFS,SMOTE,LR,0.096,0.85,0.1703,0.8695
PC2,CFS,SMOTE,SVM,0.0963,0.75,0.1686,0.8312
PC2,CFS,SMOTE,RF,0.07,0.1,0.0786,0.8192
PC2,CFS,SMOTE,XGB,0.0393,0.1,0.0556,0.8513
PC2,CFS,ADASYN,LR,0.09,0.8,0.1595,0.8695
PC2,CFS,ADASYN,SVM,0.0974,0.75,0.17,0.8237
PC2,CFS,ADASYN,RF,0.0167,0.05,0.025,0.8172
PC2,CFS,ADASYN,XGB,0.05,0.1,0.065,0.8718
PC3,None,None,LR,0.6379,0.1434,0.2203,0.8303
PC3,None,None,SVM,0.2,0.0143,0.0267,0.7551
PC3,None,None,RF,0.4655,0.1505,0.2194,0.8288
PC3,None,None,XGB,0.3557,0.2027,0.2472,0.8112
PC3,None,SMOTE,LR,0.2849,0.7176,0.407,0.8246
PC3,None,SMOTE,SVM,0.3009,0.722,0.423,0.8205
PC3,None,SMOTE,RF,0.3464,0.3714,0.3525,0.82
PC3,None,SMOTE,XGB,0.3979,0.3797,0.3854,0.8162
PC3,None,ADASYN,LR,0.2842,0.7473,0.411,0.8174
PC3,None,ADASYN,SVM,0.2975,0.7516,0.4252,0.8141
PC3,None,ADASYN,RF,0.3284,0.3648,0.3398,0.8236
PC3,None,ADASYN,XGB,0.3885,0.3654,0.3739,0.8101
PC3,IG,None,LR,0.6512,0.1352,0.2115,0.831
PC3,IG,None,SVM,0.1,0.0071,0.0133,0.6298
PC3,IG,None,RF,0.5383,0.1731,0.2502,0.8226
PC3,IG,None,XGB,0.3592,0.2264,0.2699,0.8003
PC3,IG,SMOTE,LR,0.3197,0.7918,0.4542,0.8315
PC3,IG,SMOTE,SVM,0.3025,0.7907,0.4372,0.822
PC3,IG,SMOTE,RF,0.3234,0.428,0.3636,0.8257
PC3,IG,SMOTE,XGB,0.3715,0.3896,0.3773,0.8031
PC3,IG,ADASYN,LR,0.2972,0.7852,0.4304,0.8286
PC3,IG,ADASYN,SVM,0.2961,0.8203,0.4343,0.8167
PC3,IG,ADASYN,RF,0.3494,0.4555,0.3896,0.8169
PC3,IG,ADASYN,XGB,0.3433,0.3907,0.3613,0.7965
PC3,CFS,None,LR,0.5417,0.128,0.1955,0.8255
PC3,CFS,None,SVM,0.25,0.0297,0.0525,0.7674
PC3,CFS,None,RF,0.5105,0.156,0.2316,0.8265
PC3,CFS,None,XGB,0.4391,0.2692,0.3303,0.8132
PC3,CFS,SMOTE,LR,0.2969,0.7407,0.4231,0.8257
PC3,CFS,SMOTE,SVM,0.2971,0.6995,0.4157,0.8165
PC3,CFS,SMOTE,RF,0.3941,0.4566,0.4208,0.8338
PC3,CFS,SMOTE,XGB,0.3726,0.3209,0.3414,0.804
PC3,CFS,ADASYN,LR,0.2908,0.7632,0.4201,0.8223
PC3,CFS,ADASYN,SVM,0.2968,0.7231,0.4192,0.8158
PC3,CFS,ADASYN,RF,0.3778,0.417,0.391,0.8326
PC3,CFS,ADASYN,XGB,0.3812,0.344,0.3581,0.8064
PC4,None,None,LR,0.7563,0.4007,0.518,0.9032
PC4,None,None,SVM,0.8669,0.2699,0.397,0.905
PC4,None,None,RF,0.7851,0.3435,0.4654,0.9375
PC4,None,None,XGB,0.6837,0.5471,0.5985,0.9408
PC4,None,SMOTE,LR,0.4369,0.8039,0.5641,0.9057
PC4,None,SMOTE,SVM,0.4236,0.8477,0.5635,0.9103
PC4,None,SMOTE,RF,0.6671,0.718,0.6866,0.9348
PC4,None,SMOTE,XGB,0.6227,0.6703,0.6417,0.943
PC4,None,ADASYN,LR,0.4226,0.8484,0.5624,0.9038
PC4,None,ADASYN,SVM,0.4099,0.8644,0.5548,0.9098
PC4,None,ADASYN,RF,0.631,0.6614,0.6405,0.933
PC4,None,ADASYN,XGB,0.6393,0.6771,0.6532,0.9411
PC4,IG,None,LR,0.6983,0.3497,0.4613,0.8943
PC4,IG,None,SVM,0.8264,0.2824,0.4102,0.8881
PC4,IG,None,RF,0.7262,0.417,0.5153,0.935
PC4,IG,None,XGB,0.6548,0.502,0.5578,0.9321
PC4,IG,SMOTE,LR,0.4008,0.8023,0.5323,0.8969
PC4,IG,SMOTE,SVM,0.4009,0.8356,0.5401,0.8994
PC4,IG,SMOTE,RF,0.6059,0.6608,0.6287,0.9308
PC4,IG,SMOTE,XGB,0.6405,0.6327,0.6343,0.9318
PC4,IG,ADASYN,LR,0.3924,0.8588,0.5374,0.8953
PC4,IG,ADASYN,SVM,0.3954,0.8755,0.5428,0.8979
PC4,IG,ADASYN,RF,0.6101,0.6784,0.639,0.9351
PC4,IG,ADASYN,XGB,0.6196,0.6265,0.6197,0.9353
PC4,CFS,None,LR,0.743,0.3157,0.4378,0.8882
PC4,CFS,None,SVM,0.8604,0.2761,0.4037,0.88
PC4,CFS,None,RF,0.772,0.4108,0.5281,0.9313
PC4,CFS,None,XGB,0.6788,0.5072,0.576,0.931
PC4,CFS,SMOTE,LR,0.3867,0.7967,0.5188,0.8915
